conversation_id,customer_message,amazonhelp_reply,intent_label,decision_label,decision_reason
1655686,"Customer message 1: Hey @115850 Why are you declining my transaction while putchasing a book,through mobile app?

Customer message 2: @AmazonHelp That issue is resolved,but I still have the issue regarding writing a review.I have an email sent regarding the same.

Customer message 3: @AmazonHelp I had a conversation with your support staff on this issue on Friday and that is still not resolved.Do check it out guys.

Customer message 4: @AmazonHelp It is staying that,I should have done minimum payment or should be a prime member to write a review.

Customer message 5: @AmazonHelp Thankyou!I have shared the details.Thankyou for your assistance.","AmazonHelp reply 1: @505269 Sorry to know you're having trouble purchasing an item. Kindly connect with us here: https://t.co/HQhpS2qeEd. ^PS

AmazonHelp reply 2: @505269 Could you tell me what is the error you see while you are trying to post a  review? ^SP

AmazonHelp reply 3: @505269 we'll reach out to you soon. 2/2 ^AP

AmazonHelp reply 4: @505269 That's odd! We'd like to look into it. Kindly share your details here: https://t.co/beaaDlIL5C 1/2 ^AP",I8,Escalate,Product Review and unresolved still.
2935753,"Customer message 1: Wtf @AmazonHelp I signed up for a trial 30 days ago but didn’t want to continue it so I cancelled it 
It’s taken the yearly payment out my account! How do I get this £80 back because I cancelled it but it’s taken it out

Customer message 2: @AmazonHelp Thank you! I got on call and it is getting refunded","AmazonHelp reply 1: @565773 My apologies for this. If you haven't used any of the benefits, you can cancel for a refund here: https://t.co/pWAVGNF2f3. ^DC

AmazonHelp reply 2: @565773 Your welcome. ^MI",I6,Auto-handle,Payment and Refund issue related to membership.
224754,"Customer message 1: @115850 your customer service has become worse than flipkart. Really pathetic.

Customer message 2: @AmazonHelp already in an email conversation. Bt can't get my problem through..need to talk to a rep.

Customer message 3: @AmazonHelp I'm trying the ""call me"" tab on the app and no. 180030009009. But I can't get through. Recorded voice says for more info visit app or site.

Customer message 4: @AmazonHelp How to use the chat feature?

Customer message 5: @AmazonHelp The rep refuses to help. 😦 I've never had any problems with @115850 before. But this is just...

Customer message 6: @AmazonHelp I trust you'll resolve the issue.. https://t.co/Ji46p5cU1R

Customer message 7: @AmazonHelp No one has made contact with me!! 
Is it not ""within 12 business hours"" and ""Earliest"" yet?","AmazonHelp reply 1: @169701 I'm sorry for the trouble. Since we had peak sale, it'd take some time for you to get connected with us. please reach (1/2)^AU

AmazonHelp reply 2: @169701 out to us through email or chat using: https://t.co/vlvfJr4nN9 we'll check it for you. (2/2)^AU

AmazonHelp reply 3: @169701 Looks like the volumes are high. Please stay on queue to reach out to a rep or reach us through chat for an instant reply. ^AU

AmazonHelp reply 4: @169701 Reach us via: https://t.co/vlvfJr4nN9 &gt; login to your amazon.in account or select Skip Signin &gt; select issue codes &gt; (1/3) ^VM

AmazonHelp reply 5: @169701 choose from chat / phone / email options, if selecting phone option select language preferred (option 1: English, (2/3) ^VM

AmazonHelp reply 6: @169701 option 2: Hindi) &gt; provide us your number &gt; choose from 'call now' or 'call me in 5 minutes'. (3/3) ^VM

AmazonHelp reply 7: @169701 Sorry to know that, kindly share your details on the link here: https://t.co/GIJyeYqKE0. We'll look into it. ^PS

AmazonHelp reply 8: @169701 Sure thing! We'll revert to you at the earliest. ^OS

AmazonHelp reply 9: @169701 You must have received a correspondence from us on this. Please find it here: https://t.co/ubzNHWZvL2. ^YP",I8,Escalate,Unresolved issue related to customer service.
1732624,"Customer message 1: @115830 pre ordered Xbox one x Scorpio edition 20/08 and no where to be seen. No dispatch date but have taken my money? Where is it at???

Customer message 2: @AmazonHelp No email with any information other than it’s not coming today

Customer message 3: @AmazonHelp No nothing at all. But you have taken my money for it which as stated in your own policy only happens upon dispatch","AmazonHelp reply 1: @507808 Hi, what info is visible here: https://t.co/BQmcNXViiI Have you received an email with further info? ^TS

AmazonHelp reply 2: @507808 Hi, have you been provided with a revised delivery date? Please check spam/junk folders. ^TS",I1,Escalate,Unresolved issue related to Delivery dispatch date and tracking.
1744072,"Customer message 1: Placed an @115821 order two days ago, paid extra for it to be delivered today. Order status page says.... shipping soon. 3 hours left, and it still hasn't left their warehouse. FFS

Customer message 2: @AmazonHelp Arriving:
Thursday, November 9

Customer message 3: @AmazonHelp Well, it's after 8pm. No package, no tracking details. It hasn't even left the warehouse as far as I can tell. I expect the agreed-upon refund terms to be honored: 20% off the order + refund of the shipping cost.

Customer message 4: @AmazonHelp Give your shipping department a great big ""FUCK YOU"" over their unexcusable delays in shipping one item. I've never seen such incompetence before.","AmazonHelp reply 1: @526002 I'm so sorry for this delay. What is the delivery date that was on the confirmation e-mail? https://t.co/XIk3PEM8dy ^HS

AmazonHelp reply 2: @526002 It's not usual for an item to be shipped close to, or even on the delivery date. Keep us posted on the arrival! ^DG

AmazonHelp reply 3: @526002 I'm sorry for the delay! At your nearest convenience, we'd like to go over available options: https://t.co/CYqkdUakWJ ^GM",I1,Auto-handle,"Simple delivery delay, shipping refund can be handled normally."
442851,"Customer message 1: @115830 My wife's account has been hacked and we can't find a contact number to sort. She can't log on as the password and email address has been changed.

Customer message 2: @AmazonHelp 3 phone calls, 1 hour and still you can't unhack my wife's account. How difficult can it be FFS!!!! She just wants access to her account back. #amazon #fail #scam #Hacker #Criminal https://t.co/0HU9gIhAF5

Customer message 3: @AmazonHelp Can I DM you rather than discuss this openly on Twitter?","AmazonHelp reply 1: @192112 Oh, no! Please reach out to us here: https://t.co/zYVX1Qi29G. Choose the option that says you cannot sign in and a phone number will appear. ^DG

AmazonHelp reply 2: @192112 Hi, sorry to hear you are still having issues. Can I ask what you were advised when you spoke with us on the phone?^TI

AmazonHelp reply 3: @192112 Hi, yes of course.^ES",I7,Escalate,"Hacked account, needs human review."
1246885,Customer message 1: @116618 - I got charged for a tv episode that is included with prime. How can I dispute this?,AmazonHelp reply 1: @412536 I'm sorry you were charged unexpectedly! We can look into this with you to explore options here: https://t.co/hApLpMlfHN ^TN,I6,Auto-handle,Routine charge dispute for included content.
390002,"Customer message 1: #KaroMilkeTayyari to upgrade to an iPhone 7. Presenting the winner of ‘Guess The Phones’ contest. #AmazonGreatIndianFestival https://t.co/BUKCp7HJ5A

Customer message 2: @115850 Why mistaking Amazon ?

Customer message 3: @115850 Hard Luck! :(

Customer message 4: @115850 want to know how you select the winner??

Customer message 5: @115850 When start @115850 Diwali Sale ? @118702 confirmed #BigDiwaliSale on 14 - 17 Oct and 10% discount with @3021 
Amazon cover pic https://t.co/FwVvBskDa7

Customer message 6: @AmazonHelp @131820 Yes! I'm also shocked to see my name. Thank you Amazon. You really made my day.😘😍

Customer message 7: @AmazonHelp I DM you about this

Customer message 8: @115850 Thank you so much @115850 @AmazonHelp I was shocked for some time iPhone dream came true. #AmazonGreatIndianFestival #KaroMilkeTayyari 😍 https://t.co/oiNggh3YB4

Customer message 9: @AmazonHelp so will there any contest further

Customer message 10: @AmazonHelp 😂 Thanks. I'll surely give you party only if you ship it fast. Can't wait to unbox my Dream Phone. ^HA

Customer message 11: @208327 @AmazonHelp Congratulations!

Customer message 12: @131820 @AmazonHelp Thanks

Customer message 13: @AmazonHelp Ok will try and thank u so much for running such a wonderful contest for the customers.

Customer message 14: @AmazonHelp I didnt see such type of care taken for customers.

Customer message 15: @AmazonHelp It feel just like that I am in an imaginating world.^HA

Customer message 16: @115850 Hi Amazon my account has been closed without reason please help . There is no proper response from __email__

Customer message 17: @115850 Hey @115850  when ll br the other results announced. Of guess who n other recent competition

Customer message 18: @115850 Laptop sale when???

Customer message 19: @115850 Amazon.in is the gang of the cheater they have taken my 16k. They are eating my interest. I would highly recmnd everyone to not use this.

Customer message 20: @AmazonHelp My order id is : 405-1741943-7937124.. go and check my interaction with customer care

Customer message 21: @115850 Plz stop being nice , u r the one whom I trusted the most ,but you shattered me by not giving refund or my product, really painful for me.

Customer message 22: @115850 Does Amazon have a dashboard of all winners of various contests ? If yes please share the link else it will be a good idea to build one

Customer message 23: @AmazonHelp Yes I have reported .they replied with the message of sorry we can't help

Customer message 24: @AmazonHelp  https://t.co/yIM5qxdigD","AmazonHelp reply 1: @131820 The winners are randomly selected and will be contacted directly. We wish you luck in the upcoming contests. ^MA

AmazonHelp reply 2: @198989 I'm unable to comprehend your concern. Kindly elaborate. ^VN

AmazonHelp reply 3: @208327 Congratulations!! This calls for a party from you. Just kidding. ^HA

AmazonHelp reply 4: @208520 Divya, winners are usually selected via a lucky draw. ^MS

AmazonHelp reply 5: @206816 We haven't made any announcements yet. Do stay tuned to our website for information regarding the sale dates. ^SK

AmazonHelp reply 6: @208520 We will be running contests from time to time. You can check all the ongoing contests on our website/app. ^MA

AmazonHelp reply 7: @208327 Absolutely! It's not a dream anymore Shubham. You are gonna be a proud owner of Iphone. How does it feel? ^HA

AmazonHelp reply 8: @208520 The pleasure is all ours. ^HA

AmazonHelp reply 9: @182608 We're following up on your concern, here: https://t.co/ThTaQUyCpg. ^YP

AmazonHelp reply 10: @210553 We haven't made an announcement on that yet. Please stay tuned for an update. ^MP

AmazonHelp reply 11: @210960 We understand you're excited about offers on laptops. You may check the deals section for more offers &amp; deals. ^SV

AmazonHelp reply 12: @214484 Could you elaborate on your concern? We'd like to get things right. ^KA

AmazonHelp reply 13: @214976 Here is the link for the list of all the contest winners list: https://t.co/ICRkX2fNTQ ^HR

AmazonHelp reply 14: @214975 here: https://t.co/00q4Sqj9zL for assistance? (2/2) ^KA

AmazonHelp reply 15: @214975 Sorry to know that the product isn't delivered. Have you reported the issue to our support team (1/2) ^KA

AmazonHelp reply 16: @214975 Sorry about that. I'd like to help you. Please share your details here: https://t.co/JzRdscmdH9 ^AK (1/2)

AmazonHelp reply 17: @214975 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public.^AK 2/2",I2,Escalate,"Missing order with unresolved refund, needs human review."
81260,"Customer message 1: @AmazonHelp 
これは、契約したら月400円って
ことで書いてある通りで大丈夫ですか？ https://t.co/UzyaLIHhme

Customer message 2: @AmazonHelp 学生なのですが、一般の方の方と値段と無料試し以外で違いとかは、あるのでしょうか？

Customer message 3: @AmazonHelp スマホからの登録は可能ですか？

Customer message 4: @AmazonHelp ありがとうございます！
登録してみます٩꒰⍢ ꒱۶

Customer message 5: @AmazonHelp 登録しました！
ちなみに、学生ではない方で登録したのですが
先程の月額400円ですよね？
動画などいくら観ても大丈夫ですか？ https://t.co/D4Wi1SWYbB

Customer message 6: @AmazonHelp 無料体験会員は使えないのであれば
正式に会員登録したいのですが
どうしたらよいですか？

Customer message 7: @AmazonHelp マンガとか音楽も使えるのですか？","AmazonHelp reply 1: @134044 はい、Amazonプライムの月間プランは月額400円(税込)です。ご登録から30日間は無料体験となり、その後有料会員へ移行いたします。特典はこちらです、ご参照ください。https://t.co/jGHC0scZcv ET https://t.co/LG29FW9QZQ

AmazonHelp reply 2: @134044 Prime Student とAmazonプライムの違いでしょうか？
まず、Studentに月額プランはありません(年会費1900円)。また、Student【無料体験中】は、プライム・ビデオ、Prime Music、Kindleオーナーライブラリーはご利用いただけません。(有料会員の場合は利用可)　https://t.co/sIZrgbfmH8　SM

AmazonHelp reply 3: @134044 はい、スマートフォンからでもご登録いただけます。　SM

AmazonHelp reply 4: @134044 お手数をおかけしますが、よろしくお願いいたします！😉 EK

AmazonHelp reply 5: @134044 恐れ入りますが、Twitter上ではお客様のアカウントを確認することができません。こちらのページでプライム登録状況をご確認ください。（会費プランの欄をご覧ください）https://t.co/tAZnIEswJA
プライム・ビデオ対象作品は、追加料金なしで見放題です。https://t.co/DihUThnyJO RI

AmazonHelp reply 6: @134044 Prime Student会員でなく、プライム会員の無料体験期間中であれば、プライム・ビデオはご利用いただけます。 RI

AmazonHelp reply 7: @134044 Amazonプライムの特典についてでしょうか？その場合はこちらのページをご覧ください→https://t.co/4zge8YK7Jq SK",I6,Auto-handle,Routine Prime pricing and membership query.
2337919,"Customer message 1: @115850 the courier service in my area is horrible.I didn't get my package and suddenly received the email stating it was returned.worse

Customer message 2: @AmazonHelp @115850 ya I did. He couldn't do anything. Now can't get it at the same deal","AmazonHelp reply 1: @385780 We regret for the inconvenience in delivering this order, It is never our intention to cause inconvenience to 1/2 ^MJ

AmazonHelp reply 2: @385780 our valued customer. Have you reported this to our support team here: https://t.co/vlvfJr4nN9? 2/2 ^MJ

AmazonHelp reply 3: @385780 Sorry for the situation. At this moment we wouldn't have an option to deliver the product which is being returned to us.^KA",I2,Escalate,Package was returned and the customer still needs the order.
1968359,"Customer message 1: so, I'm not very happy with @116090. Not only did the order made on Oct 30th that was scheduled to arrive on Nov 1st (prime), failed to be delivered 4 times and now is expected to be delivered Dec 20th but the customer service sent smiley faces and lol'ed at me.

Customer message 2: @116090 then basically told me that everything that could possibly be done has been done and basically asked me ""if there was anything else I could do or else click 'end chat' and I was just....what the heck....

Customer message 3: @116090 I regret paying for Prime so much....

Customer message 4: @AmazonHelp Is this e-mail something that’s supposed to be received right after the chat? Because I have yet to receive it.

Customer message 5: @AmazonHelp This chat was about 4hrs ago. I've chatted with customer service 3 times prior to this for the same order and have never received e-mails after any of them.

Customer message 6: @AmazonHelp yup. nothing there.

Customer message 7: @AmazonHelp no I just got a promt to get the transcript e-mailed and the window auto-closed after I clicked. Reason was not given but claim to carrier was sent and it was re-rescheduled for Monday but never arrived and was told guaranteed tuesday (today) but again, never arrived.

Customer message 8: @AmazonHelp No. The lady I talked to today basically canceled the original order and reordered and it’s not going to ship/deliver until Nov13-Dec20.

Customer message 9: @AmazonHelp Sure. I’m not so much angry at delivery time but the way the whole thing was dealt with. I’d like to send feedback/file a complaint if possible","AmazonHelp reply 1: @583218 My apologies for this. Please use the follow up e-mail received after the chat to escalate your feedback. ^DC

AmazonHelp reply 2: @583218 Yes it's normally sent after you contact us. How long ago was it? ^RS

AmazonHelp reply 3: @583218 Have you checked your junk/spam folder? ^AS

AmazonHelp reply 4: @583218 Apologies for the poor experience. Was there a chance to leave feedback after the chat? What reason was advised for the delay? ^TP

AmazonHelp reply 5: @583218 Sorry about that! Is there any update on the order tracking?^CD

AmazonHelp reply 6: @583218 I understand. If it's not received within that delivery estimate, please let us know. ^DC

AmazonHelp reply 7: @583218 Sorry about the delivery issues you've had. Please call us here: https://t.co/Q7Ftz6nj80 so we can assist you further. ^ES",I1,Escalate,Repeated delivery failures and unresolved support.
1535518,"Customer message 1: Awesome @115821 GUARANTEED delivery today - seems ""today"" is now late NOVEMBER. WTF!? Why do I pay for #prime- worthless. Getting worse...

Customer message 2: @AmazonHelp Super glad you're sorry @115821, but one of your vendors shows 5 in-stock w/2 day delivery still - so, how about 2 days from now?

Customer message 3: @AmazonHelp Also, how sad is it that you need to shame @115821 on #twitter for customer service issues. Market share up for grabs ppl!

Customer message 4: @AmazonHelp Third party. They fly under your banner and make commitments to your customers. Do you think this does not reflect poorly on #amazon?

Customer message 5: @AmazonHelp Feedback loop - tl;dr - cancelled order.","AmazonHelp reply 1: @476134 Sorry for the longer than expected wait. Is the item you ordered currently in stock? Will you send us a link to this item? ^CL

AmazonHelp reply 2: @476134 Was your order sold and shipped by https://t.co/nUUp5MLhYl or by a third-party seller? Found here: https://t.co/q4LAMZ3tbE ^AC

AmazonHelp reply 3: @476134 Have you contacted the seller requesting additional info/insight for the change in delivery date: https://t.co/roeYfzyZzN? ^WM",I1,Escalate,Repeated delivery delay and failed attempts to resolve it.
667704,"Customer message 1: @115821 my daughter is STILL waiting for her birthday present it should've been delivered yesterday!!! ITalked to 6 reps PLS ☎️me 6159447599 https://t.co/fkaRiumvPb

Customer message 2: @AmazonHelp After iSpent HOURS on☎️ @115821 refunded lost gift card &amp; gave me $75 credit as compensation because iPROVED iWas LIED to by🇮🇳call center

Customer message 3: @AmazonHelp @115821 Then iReordered my daughters birthday gift-ya'll waived the delivery charge so she would get it today-she waited by door &amp; it never arrived😢 https://t.co/T54CHXUKVb

Customer message 4: @AmazonHelp @115821 TWO nights in a row #Amazon dropped the ball and i'm a bad parent in my kids eyes.  All I wanted was to may my daughter know iCare😢TWICE😢😪😭😡

Customer message 5: @AmazonHelp That was the 1st one that never got to her Monday

Customer message 6: @AmazonHelp The 2nd card tracking says it 's expected to arrive &amp; its after 8 and never arrived. https://t.co/JKb4zhxGq9

Customer message 7: @AmazonHelp Im beginning to think gift cards get stolen .... maybe @115821 needs to beef up security &amp; do background checks on driver

Customer message 8: @AmazonHelp That is the weird part - it had none","AmazonHelp reply 1: @276810 I'm so sorry for the inconvenience we have caused you. Kindly understand that Social Media team don't have access to your account. But we'd like to help in any way we can. When you spoke to us, did we offer any resolution? If so, what option was given to you? ^LH

AmazonHelp reply 2: @276810 Sharon, I'm so sorry to hear your daughter's gift never arrived. However, if you look at the tracking page, it never actually shipped. Did you receive any emails regarding a possible delay in getting it shipped out? ^SY

AmazonHelp reply 3: @276810 Who is the carrier shown in the tracking information? You can check here: https://t.co/Y5jpI9gRhE ^LJ

AmazonHelp reply 4: @276810 I know how frustrating a late order can be. We'd like another chance to help you with the replacement shipment. Please contact us at the following link: https://t.co/hApLpMlfHN, and keep us posted on the outcome. ^CC",I1,Escalate,Repeated delivery failures and no effective resolution.
538485,"Customer message 1: @115830 Could your returns be more farcical? #Amazon page says “Show code on mobile phone” to return. Mr @244842 says “sorry, scanner can’t read phone screen, can you go and print it out”. Stupidity of highest order.... https://t.co/8vuwhH6bI6

Customer message 2: @AmazonHelp Not yet, have to go home to print out web page for Mr @244842 and take it back. Let’s hope his scanner can read it from a printed page...",AmazonHelp reply 1: @244841 I understand your frustration Dave! It is not our intention to let you down. Were you able to get your parcel returned? ^DJ,I3,Auto-handle,Routine return issue with the return label.
142806,"Customer message 1: Oye, @116928, si el paquete que habéis dejado delante de la puerta de casa (aunque en Seguimiento del pedido dice, falsamente, que se le entregó a un residente) lo hubiese cogido cualquiera que pasase por allí, ¿qué habría pasado?

Customer message 2: @116928 Es que ni se molestaron en llamar por teléfono, ni una nota para reentrega ni nada. Lo dejaron delante de la puerta sin más. La verdad es que no transmite mucha confianza ese proceso de entrega. Así que insisto: ¿qué pasa si alguien coge ese paquete? ¿Os hacéis cargo?

Customer message 3: @AmazonHelp Amazon Logistics.

Customer message 4: @AmazonHelp Vendido por Amazon EU S.a.r.L.

Customer message 5: @AmazonHelp Luego os escribo. Muchas gracias.","AmazonHelp reply 1: @148239 Hola Carlos, lamento mucho saber lo sucedido con la entrega de tu pedido. ¿Podrías indicarnos cuál es la compañía de transportes encargada de la entrega de tu pedido? ^LG

AmazonHelp reply 2: @148239 Hola Carlos, ¿nos podrías indicar si el producto es vendido por Amazon o por uno de nuestros vendedores externos? ^KA

AmazonHelp reply 3: @148239 Muchas gracias por la información, si deseas reportar esta situación puedes ponerte en contacto con nuestros compañeros de Atención al Cliente a través del siguiente enlace: https://t.co/OjvUxwnzPe. ^MZ",I2,Auto-handle,Package was left at the door instead of with the resident.
2984600,"Customer message 1: ¿Por qué mandan tanta basura de correo, tío @116875 ? Es increíble la cantidad de spam que he recibido de ustedes los últimos días. Ya Párenle, es demasiado molesto. #Amazon #Spam @AmazonHelp https://t.co/vKtrQkENfp

Customer message 2: @AmazonHelp Ya cancelé las notificaciones, solo espero que sí me lleguen los correos de pedidos que haga.","AmazonHelp reply 1: @434862 Hola, lamentamos el inconveniente. Puedes modificar las preferencias de tu correo electrónico, siguiendo las instrucciones que se encuentran en el siguiente enlace: https://t.co/iDDHsujWkn ^AV

AmazonHelp reply 2: @434862 Siempre seguirás recibiendo los correos relacionados con tus compras, cuenta o servicios que hayas adquirido ^AR",I8,Auto-handle,Routine email notification settings issue.
