conversation_id,customer_issue_text,final_resolution_text
181115,@115821 this is probably not a good place to leave my packages at a condo...right inside the gate? https://t.co/89v8lb0dPF,"@158537 Please reach out to us here: https://t.co/hApLpMlfHN, so we can make sure this feedback is escalated to Amazon Logistics. ^WJ"
180582,@AmazonHelp But the link isnt helpful. How do I connect to a human?,"@158456 and help. Please share your details here: https://t.co/GIJyeYqKE0, we'll get back to you soon. 2/2 ^MA"
238580,"@AmazonHelp Si. Los recibi. Segui los pasos, reestablece mi contraseña y no me deja entrar. Me parece fatal que pase esto 2 veces.",@172750 ¿Qué error te presenta al intentar accesar tu cuenta con la nueva contraseña? ^DA
620017,"@115850 very irresponsible  ORDER #405-9317605-5910754, ORDER # 405-9317605-5910754 Current Status of Investigation ?","@207245 it right away. Please don't provide your order details, as we consider it to be personal info. 2/2 ^OS"
197890,"Denial of Service and Late delivery by #Amazon, complaint filed against @115850 
https://t.co/gFiNiQLmQs","@159152 I'm sorry, can you please confirm if you have given your details through the link provided earlier. ^SI"
197873,Nothing exciting about @115850 ongoing sale this time. September deals were so much better :(,"@150363 It just started and we have 4 more days of the sale left, please keep checking the website for more updates. ^SI"
197808,@AmazonHelp no i cannot wait refund me,@162515 I understand your concern regarding the refund. Kindly wait for the requested time frame mentioned earlier. ^AP
197667,@AmazonHelp No-- the woman I spoke with actually laughed at me and said there wasn't much they could do other than wait for an email.,@162492 Have you received an e-mail from an Account Specialist yet? ^LB
197651,None of my birthday packages that I ordered for myself came...not @115821 Prime and not @6614 ....I'm bummed AF and my Birthday is tomorrow,@162489 We'd like to help. What does the status of the order show here: https://t.co/Y5jpI9gRhE? Did we miss our mark? ^CO
238216,@115850 Guys don't buy smart phones from Amazon if you buy you will be suffering like me here is the email screenshot attached https://t.co/O9dhKWf7mr,@172675 Please don’t provide your details here as we consider them to be personal information. Our page is visible to public. ^GS
191554,@AmazonHelp What happened is I tried to change my bank details from Spain and they flagged me as fraud - even though it was my account. :(,@161025 I'd like our team to look into this. Use the skip sign in option to send us your information here: https://t.co/idK6ESyI2v ^GL
191715,@115821 How can I become a productive student and y’all fuckers won’t send me my damn computer charger ?,@161051 I'm sorry your charger hasn't arrived! Was this sold by Amazon or a third-party seller? Has the delivery date been missed? ^VS
180008,@AmazonHelp I know  may seem that I have the package and im trying to get the money but it's not and obviously it makes me kinda angry,@158369 I'm sorry for the wait of a response. Please let us know about any investigation updates. ^MH
191557,"@AmazonHelp DHL evidently put the wrong label on it, it got shipped to WI instead of IL. Estimated to arrive yesterday, now I'm not sure.",@161026 Keep us posted on the arrival of the replacement! We want to make sure you're reunited with your Roomba buddy soon! ^ME
224808,"I was waiting for it forever,finally ty #AmazonIndia.But u can by through only invitation is d idea I don't like #AmazonEcho.I hope 2 get it","@169711 Due to heavy demand, we send limited number of invites each week. Keep an eye on your inbox. ^NR 2/2"
182571,"@AmazonHelp I am waiting for an answer regarding the buyer that received a refund from you for 4 orders from me, and then he switched out the items and sent them back.","@158933 We'd be glad to assist you with this! Without posting personal account information, tell us more about your situation. ^FR"
248596,@115830 I waited most of the day. Wasn't told I needed a signature but didn't want it left by the bin. Absolutely no idea where it is now! https://t.co/ZPAdxT9QGn,@175063 I'm sorry for the trouble with your delivery. What's the latest tracking update listed here: https://t.co/aaDyEz1VgE? ^RA
183071,@115821 @117634 Is there  a way to gift someone a book on their #Kindle? Options while buying are only to send to my own devices!Help!,"@159056 Please contact us here: https://t.co/TK4yevTaND, our team will check and help you with available options. ^NR"
183009,"@115830 what's happening with deliveries at the minute? This is not the 1st time either. I was in, and the safe place wasn't used. #prime https://t.co/k972caieGW",@159043 I'm sorry your parcel wasn't delivered! Please phone us here: https://t.co/JzP7hlA23B to report this and discuss re-delivery. ^LB
182789,@115830 why did you deliver this to our neighbour rather than putting it through the door? #pissedoffneighbours https://t.co/ISEKV71YbZ,@159011 I'm sorry it was delivered that way! Please contact in with the link so we can get your feedback: https://t.co/oGDklGgbCZ ^GL
182644,"@AmazonHelp again #bad #experience Product ordered, cancelled. Now not able to order tht product due to qty restrictions #badservice #amazon",@158949 Kindly revert to the email sent by our account specialist team. We'll check this for you. ^SG
182585,How much does Amazon call back cost? @AmazonHelp,@158936 Amazon doesn't charge although service charges may apply from mobile providers. They would be in the best position to help. ^TG
182565,@115821 v disappointed with your customer service. Getting married Friday and got 40 of 160 paid for shot glasses. Rep wouldn't do anything.,"@158932 I'm sorry for the troubles with your order! Can you tell me who's the seller, Amazon or third-party: https://t.co/Y5jpI9gRhE ^FR"
283941,"@AmazonHelp Seriously? I post I can't find a email to address issue and you send me a link to the email, but THERE IS NO EMAIL?","@183631 I'm sorry about that. You can go here: https://t.co/hApLpMlfHN
It will ask you about the issue then give options to contact us. ^TR"
198689,"When you use Amazon prime so your mum's birthday present gets here on time, but you get an email saying it will be delayed for two days 😂",@162745 I'm so sorry your order was delayed! Do you see a reason for the delay on the tracking information? ^DD
244714,@AmazonHelp Earlier this morning,"@174124 I'm sorry, the Beta code is only available if the order was placed by October 1st. More info here: https://t.co/olGcrkGGR8 ^RA"
210535,@amazonhelp what is this? It’s Wednesday and the tracking number hasn’t even been updated? Refund! https://t.co/aGp98gQ8MN,@165818 We'd like to have a specialist look at this with you. Please provide more details here https://t.co/nuIpOhUIuR so we can help^NM
210431,"@115821 please help, I ordered a gift voucher which was allegedly signed for on Monday but it has not been received...","@165809 Oh no! Have you been able to reach out to us by phone or chat? If not, please click here: https://t.co/JzP7hlA23B ^NM"
210378,@115850 I ordrd gifts for someone and you say its cancelled...nice diwali gift from you...thanks ton!!! hoping to get some solution &lt;end&gt; https://t.co/45jbpuLTxN,"@165793 We've responded to you here: https://t.co/yTCExnB8bg, request you to check. ^MA"
210357,@115821 how do I cancel a Kindle purchase?,"@165788 For instructions on how to cancel a Kindle purchase, please see here: https://t.co/3kgtHiseIR ^CO"
210322,@AmazonHelp why is there no response oon my tweets ?,"@165779 We've responded to your query, here: https://t.co/gMGDyGeYmT, request you to check. ^MA"
182627,@AmazonHelp No although I was expecting the rep to say that. Just asked me to look around the front porch. I've had packages misdirected and returned.,"@158945 Delivered packages usually show up within 36 hours: https://t.co/Suw0w2wmpl If it doesn't turn up, please call us again! ^TK"
200026,@AmazonHelp For what? Your sales make no sense to me as I don't find #discounts I have been waiting for. Shameful! #readinglist #writing #books #novel,@163188 I understand your concern. I'll forward your feedback to the team concerned for review. ^HD
199997,@AmazonHelp rep came back briefly and I'm back on hold again.  this is the second call this week for this order and your second wrong delivery,@163183 Thanks for the update. Since we do not have access to your account details they will have the best options to help review. ^TM
199987,"@AmazonHelp Yes, get same problem. Looking at DownDetector looks like im not alone at Checkout. If this is a transient issue it can wait. https://t.co/L6lhvSOsD8",@163181 Have you tried clearing cache/cookies when using the website for checking out? Perhaps use a different browser? ^MJ
199639,@AmazonHelp It's been delivered now I have been charged twice &amp; have two of the items! I was told one was being cancelled all together &amp; it hasn't been,"@163088 We'd like to assist you with this order directly, please choose ""phone"" here: https://t.co/JzP7hlA23B ^JR"
197381,"@AmazonHelp Chamou pelo nome! Que direto, nada é que vi 3 livros lá no site e vou adquirir rs",@162431 Quais são os livros? A gente pode te recomendar de terror e de suspense! 😀👻🤡🎈 ^JJ
198442,@115821 someone has hacked my account and is buying £100s worth of gift vouchers please help ☹️☹️☹️☹️,@162656 I'm sorry to hear this! You can contact us directly here without signing in to your account here: https://t.co/IJyKoR4602 ^ME
206958,@AmazonHelp Yeah,@165003 What order status and delivery date(s) are you currently seeing here: https://t.co/aaDyEz1VgE? ^JR
206760,"So @115821 is really bad with their ""next day deliveries"", it's been two days since a book was ordered for me and it still hasn't arrived.",@164969 Oh no! We'd like to help. What's the latest tracking showing here: https://t.co/aaDyEz1VgE ^NM
206722,@115821 what's wrong with this review that wouldn't let it be posted? https://t.co/FJ69c1ZgZD,"@164962 We're here to help! In order for reviews to be posted on our site, all guidelines must be met: https://t.co/cqrlF7CZ4M ^ML"
206711,@AmazonHelp please help change my region back in Amazon flex. No support or moving pre-internet slow,@164958 We can't access the account with Twitter so please reach out to us again in your Flex app. Keep us posted! ^DD
642674,@115821 we need to talk about Volumes. #wastedspace #nonfragilepackage  V=l*w*h https://t.co/pu8Jo7Kjmq,"@272558 We're always looking to improve! To send us feedback for your order, please visit: https://t.co/2EfOFZRFgL ^MB"
198681,"@AmazonHelp you guys kept charging my card $53, then refunding me for an Amazon Prime membership when I never said I wanted to sign up for it.","@162744 Oh! I see! Was an order placed recently using the Prime Shipping option? If so, that may explain the reoccurring charge. ^FR"
218071,@AmazonHelp I keep being disconnected 🙁 I was speaking to kindle retail U.K. And after 15 minutes I was disconnected x,"@167991 Oh no, Louise! I'm sorry for the disconnection! Are you able to chat to us without issue? Please be sure to let us know. ^TG"
204968,@AmazonHelp nope it still says arriving today at 8 https://t.co/KuWZgUxI75,@164550 Who is the listed carrier for this order? You can review this information through this link: https://t.co/Y5jpI9gRhE ^WM
204903,@AmazonHelp @127852 I have yet to receive my battlefront 2 beta for ps4. Can you help? I preordered from Amazon.,"@164533 Oh no! When did you place the order, Michael? Have you checked your e-mails as well as spam and junk folders? ^TG"
215212,amazon keeps messing up my her order i got one email saying it was cancelled but when i go on the website it says its gonna be shipped i,@167131 Oh my! What does your order status show here: https://t.co/Y5jpI9gRhE? Let us know! ^KJ
215145,"@AmazonHelp hello, my order hasn't arrived at the estimated delivery date so i want to cancel it.",@167117 Sorry about the delay. Could you confirm if your order was placed on Amazon.in or https://t.co/nUUp5MLhYl? ^HD
215139,"@115821 I am trying to report abuse on your site, but it won't process my request. Help!!!",@167114 Oh no! Can you tell us a bit more about the situation and what's going on without revealing personal or account information? ^TG
215092,"@115821 hey, um, this order should been here by the 26th. It was updated to the 30th and here we are in October and they still have not ... https://t.co/fjRdvupA1G",@149134 I'm sorry you haven't received your order! Was this shipped/sold by Amazon or a third-party seller: https://t.co/Y5jpI9gRhE? ^MV
215080,@115850 I am trying 2 cancel order I placed yesterday Order #407-4276619-9778711 but I am not getting the cancel option on app. Pls help,"@167101 Please don't provide your order details, we consider it personal info. Our Twitter page is visible to public. ^NR 3/3"
206829,@AmazonHelp I would never treat my .com customers at my store with im sorry come back later #supportbrickandmorter,"@164977 This isn't what we like to hear! Without providing account information, could you tell us more about what's going on? ^ML"
219166,"@AmazonHelp, AMZL is awful. No tracking updates in 24 hours, but my package is still showing delivery ""Today by 8pm"" (it's 20:30 right now).",@168269 My team can escalate this. Please send us your details when you have time: https://t.co/TGREkvHxM7 ^EP
222821,@115821 so Amazon changed the default shipping option on my prime account from two days to standard shipping without notice. Not cool Amazon,@169219 I'm sorry the shipping speed was changed! We can look into available options. We can be reached: https://t.co/hApLpMlfHN ^EP
222906,I thought @AmazonHelp wasn't responding but it turns out my notifications weren't woeking properly. I no longer have an issue thank you!,@169234 Thanks for keeping us updated! Don't hesitate to reach out if you need anything else!  ^AG
222893,V tired of spending my evenings on the phone with @115821 because of shipping issues. Thought Prime was supposed to make things easy.,@169230 That's not the experience we want to hear about. Can you tell me a bit more without posting any personal.account info? ^GG
222688,"@115821 Late deliveries are a normal occurrence, why are we wasting money paying for Prime? https://t.co/pq3E8X43kk",@169198 I'm sorry for re reoccurring delivery issues. Are you noticing this trend with a certain carrier: https://t.co/q4LAMZ3tbE? ^GG
223923,Amazon pay coming to India 🇮🇳 @115850,@169504 It is already here for a while now. Check it: https://t.co/RoLPBCh3H5 ^KC
223920,@AmazonHelp Your site's Contact Us options are bad. It won't accept my order number to report an Order Related complaint #CustomerExperience,"@169503 We'd like to help. Does your order show up when selecting ""An order I placed"" here: https://t.co/EKXRLsnxJu? ^GG"
223897,"Wow!
Already got @121284 invite to buy it! 
That was fast!",@169498 Glad to know that!😊 What are you waiting for? Order it now! ^EM
222771,@AmazonHelp For the same seller,@169212 Our buyback partners provide the exchange value for your used product and hence is dynamic. ^PS
223883,@115821 what i will get if i will show you a real time bug of @115850 ?,"@169496 We don't have a bug bounty program. Let us know more, we'll try to fix it. ^GK"
224281,@115821 @AmazonHelp,@169586 We'd like to look into this. When you have moment please send us your details here: https://t.co/fWg4dV0IRR ^CL
224408,If I ordered one day shipping and it gets delayed farther than one day do I get the one day shipping fee back? @AmazonHelp,"@169622 Hey Mikey. If an order has been delayed, please reach out - https://t.co/hApLpMlfHN and we will be happy to look into this ^TP"
224411,"I will never call @amazonhelp again. Idiot picks up the phone, asks for my info and then puts me on endless hold. #badservice @115851",@138638 Sorry to hear that! Can you tell us why you contacted us? Is there an issue with your account?^CD
222676,@AmazonHelp Tweeting suits me best tbh ;),@169196 Please use the link ^CL provided as we don't have access to your Amazon account or order history via Twitter. ^EZ
224585,"@118919 @8623 I am waiting 4 my order to be delivered for 20days, u r bill &amp; delivery guys bill mismatch is not my issue",@169657 Write to us here: https://t.co/GIJyeYqKE0 &amp; we'll help you with available options. 2/2 ^MJ
180353,@AmazonHelp Yest again courier agent came around 1:30/2 but told my mom that ur pickup is scheduled from 4-7 pm and again left..just an update,@158418 We are working on your concern. We will get back to you with an update at the earliest. ^HR
225036,@AmazonHelp Was supposed to receive Amazon pay cashback on Order #406-2230793-6000347. It does not work and your cust service team confirmed it,@169760 Provide your details here: https://t.co/beaaDm0muc we will get back to you with a resolution.^GU
224993,"@147807 Hi, I wanted a One plus 5 mobile, but none of your vendors are offering a GST invoice on that. How can I proceed?",@169753 Have you created a Business account with us? ^HK
225266,@115821 I rented a book and can't remember my email help me I can't pay 200$,"@169812 HI, we do not have access to your account via twitter. Is it your account email or password you are having problems with? ^CR"
225015,@AmazonHelp To cancel the order .. is the way customers are treated,"@169757 I'm sorry for the unpleasant experience, kindly share your details here: https://t.co/beaaDm0muc &amp; we'll contact you soon. ^KN"
226122,@115821 @AmazonHelp i didnt recieve my product but i got msg what the hell is this? https://t.co/EBvGpy5jO9,@169983 That's unusual. Have your checked with your family members or neighbors who might have collected the product? ^AP
226352,@AmazonHelp Was meant to be here last Saturday.. won't be pre ordering with amazon again https://t.co/WdIwhD188F,@170033 Sorry for the delay with the order.^CD
226663,"@115850 Order placed yesterday evening for Lenovo K8 Note, after some payment issues through Citi Card, Hope it'll be delivered timely.",@170108 Sorry for the trouble. The product will be delivered by the estimated delivery date. ^NS
227126,@115850 hey guys pls pls pls pls approve my request for @115833 dot. desperately want it. best gadget until now,"@170176 We send a limited number of invitations each week to customers, so keep an eye on your inbox. ^NS"
224814,@AmazonHelp I have send the details . the basis .Beacuse my product is not working and I have to claim the product  they are demanding the sales invoice,@169712 Thanks for confirming. We'll have a check and get back to you. ^HT
226382,@AmazonHelp So what is the point in pre-ordering anything?,"@170040 HI, if you place a pre-order you will be emailed with a date for the delivery via email. What was the date you were provided?^CR"
227933,"@115850 i just cant believe that your costumer care services arnt worth its while 
Plz try to rectify",@170344 I'm sorry to hear about that. Could you please let us know what went wrong?^SB
227766,@AmazonHelp Yes I can. I do not use amazon.ca or amazon.it so i do not understand whats going on,"@162760 It's possible there was a hacking attempt on your account. As a precaution, you could change your password if you wish. ^RL"
224260,"@AmazonHelp I didn't have email, tell me if I can't have mail, neither did have any email please refund prime account fees",@169580 Sorry for the trouble. Please skip sign in and then share your details here: https://t.co/GIJyeYqKE0 and we'll reach out. ^KA
227925,@AmazonHelp  https://t.co/kwhVqM5mqM,"@170343 Hi, very sorry about the delay. Please let us know if the parcel is not with you by the new date provided to you. ^CR"
229978,@AmazonHelp we haven't received our cash back for shopping with you on 23/09/17 as we paid you by card please see to this as soon as possibl,@170801 Kindly escalate this to our support team here: https://t.co/2t6DQoUmNZ for assistance.2/2 ^MM
229974,@AmazonHelp So that means winner has not been chosen yet?? Do I still have a chance??,@170799 Winners will be announced by October 25th. Stay tuned for more updates. ^MM
229801,@AmazonHelp Don't get any problems with @122232 or @115817 and there customer service is great too,@170764 Please try these tips for locating a missing package: https://t.co/5JONcuLIv8 ^KM
227921,@119356 @115850 @AmazonHelp Well played @AmazonHelp  the prices are increased for both gold and space grey just after my tweet. https://t.co/eZQuasDqFz,@170342 Apologies for the trouble you've had while placing the order. 1/2 ^MM
227855,@AmazonHelp I became varun menon using the link u sent https://t.co/cXsncE279H,"@170333 I'm sorry about that, please disregard the link provided earlier. You can use this link:https://t.co/QS2bTd0snB ^EM"
227843,@AmazonHelp Please contact me on +91 9167575165,"@170331 Please don't provide your order details, as we consider it to be personal information. ^AP"
652839,@115850 You should keep the basic Prime for 499 only. Charge more if people want more features like Music etc.. that you have in the US,@171086 I'll ensure to share your comments internally to work on. Thanks for sharing your insight. ^CB
230927,"@AmazonHelp @AmazonHelp Then I saw this on my order I did Monday (3/10/17) was on a day on next day delivery, Now it’s est. before 9pm today 2/n https://t.co/k8XsRyFOnU",@125793 So sorry about the delay. We do aim to deliver by the delivery date given at the time the order was placed. ^KM
231314,I want to cancel my order tracking ID-15227156442. But i cant see any cancel option over there.@118919 @115850 @AmazonHelp,@171089 We've responded to you via DM. Please don’t provide your order details as we consider them to be personal info. ^SG
231518,@115821 order no 405-4417879-1189968 - ordered iPhone 7 rose gold 32gb but got used iPhone 7 blue 128 gb.. pathetic service.. https://t.co/04fxb6obCj,"@171139 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public. 2/2^SB"
231484,"@115850 

Order ID 404-5202232-8004339:
till date waiting for installation

Can someone please check on this.","@171130 Please don’t provide your order details, we consider them as personal info. Our Twitter page is visible to public.^VM"
232174,@115821 I ordered an Apple Ipad whose delivery date was yesterday (Oct 4). I haven't received it yet and customer care just wastes my time☹️,"@171274 Hello, I am sorry to hear about the delay. What is the status of the tracking on your order? ^CR"
231891,@AmazonHelp Have now changed it to deliver to a neighbour as they can't seem to deliver to us,"@171219 Is the parcel currently out for delivery right now? If so, please keep us updated on the arrival ^CR"
182513,@AmazonHelp @144148 @20542 @115821 @115850 Order no - 404-7996060-6752355 Invoice : KA-QSIV-154930911-1718 #Amazon pls process fast,@158923 Please don’t provide your order details as we consider them to be personal information. Our page is visible to public. ^RB 2/2
232733,@115830 being a prime member I was supposed to get this yesterday and now it's changed? https://t.co/ZlyGje3pT4,@171395 Sorry for the delay with the order. It's rare but delays can happen.^CD
233113,@AmazonHelp Are you ignoring me?,"@171488 Hey Mike, once we have information about stock the website will be updated accordingly. ^TP"
233075,@115850  Is this Amazon's official promotion for the great Indian festival? I want to knw cuz this is doing lots of rounds now! https://t.co/jXJQTCITfj,"@171478 Thank you for keeping us posted, Arif. This is not an amazon website. Request you not to provide any details. ^KS"
233525,@AmazonHelp Who is this accounts specialist team which is never contacted me? Can't you do this favor to pass on my query to them.,"@171588 account specialist team or you may reach out to our support team using the link shared earlier by ""NK"". 2/2 ^GK"
192304,"@AmazonHelp It's not the transaction that's the issue..well it still is actually, why from Luxembourg? Also lack of Customer service from your out sourced call centres...total disregard of customers and spouting a reason they think a customer wants to hear 😡 Give me the facts already!",@161164 Please use this link to provide some details and I'll investigate this for you: https://t.co/tkLCr7DNil ^RL
233757,#AmazonIndia All beware Amazon not providing GST credit to customers through sales by Cloudtail their own subsidiary,@171645 We do provide the GST invoice to our business customers Sanjeev. Please check this link: https://t.co/NCkirKZh2Z. ^HN
233720,GAH I JUST SIGNED UP FOR @115830 PRIME BY MISTAKE BECAUSE THEIR WEBSITE IS FLIPPING NUTS. THOSE BLOODY CRETINS I JUST WANT TO BUY SOME INK CARTRIDGES!!!!!!!!,"@171637 You can cancel your Prime trial if you wish, you won't be charged! ^RL"
234233,"@118797 Good day. I have an Amazon Prime but I am receiving this error ""Oh no! We can’t enable Twitch Prime on your account.""",@171764 Click here: https://t.co/qlqNMV64c8  hopefully this will help you out :) ^AS
210355,@AmazonHelp And I’ve just had a parcel delivered today with instructions to leave in greenhouse. So they’ve left it in the bin 😠,@165787 Apologies Jay - Please reach out : https://t.co/JzP7hlA23B we would like to escalate this directly with the carrier. ^TP
234111,Uh oh...kindle won't turn on,@171745 Try holding down the power button for 30 seconds or more. Then turn the device back on by hitting the power button again. ^EM
233460,"@AmazonHelp Sorry that your order is late, if it doesn't arrive by Saturday (this is a school address so closed on Sat.) then come back to the site.",@171578 I am truly sorry for the late order! Who is the carrier responsible for the delivery: https://t.co/Y5jpI9gRhE ^JZ
234562,@115850 do we need to link aadhar card to Amazon account to claim lightning deal? #amazon #lightningCheater,"@171847 Hi Rohan, there is no such requirement. You only need an Amazon account for that. ^HN"
235169,@115850 How about surprising me with a firestick this deepawali ?,"@172004 Hi, why wait until Deepawali? When you can purchase it right now! Please check the link: https://t.co/6AGPOKtGoQ. :-) ^HN"
183295,@AmazonHelp Ok thanx i dleleted the pic,@159103 Thanks for understanding and I'm glad to hear that your refund was initiated. Have a good weekend ahead. ^NK
235156,"@AmazonHelp hi, I’ve just received an email to say I’ve renewed my prime. Never had it. Is this spam? Please help","@172001 Hey, you can check if the email is from us here: https://t.co/OVmaCmjoJY ^RS"
236235,@AmazonHelp @116090 my package is in transit since Oct. 3 and was supposed to arrive yesterday. hasn’t been delivered. What’s going on?,@168214 I'm sorry to hear about this delay! What is the current status of the tracking information for your order? We'd like to help! ^SD
234809,"@AmazonHelp Where is the option of return ?? Not getting any option , the product I received is not working properly",@171911 We're glad your concern is resolved. Keep us posted for any further issues. ^YP
236241,"@172257 @115821 I keep having packages left ""in the mail room.""
Guess what my building does not have.","@172359 We're very sorry about this issue. Which carrier was assigned to these deliveries? Please let us know, we want to help! ^HM"
