conversation_id,customer_message,intent_label,decision_label,predicted_intent,predicted_decision,decision_reason,draft_reply,retrieved_conversation_ids
81260,"Customer message 1: @AmazonHelp 
これは、契約したら月400円って
ことで書いてある通りで大丈夫ですか？ https://t.co/UzyaLIHhme

Customer message 2: @AmazonHelp 学生なのですが、一般の方の方と値段と無料試し以外で違いとかは、あるのでしょうか？

Customer message 3: @AmazonHelp スマホからの登録は可能ですか？

Customer message 4: @AmazonHelp ありがとうございます！
登録してみます٩꒰⍢ ꒱۶

Customer message 5: @AmazonHelp 登録しました！
ちなみに、学生ではない方で登録したのですが
先程の月額400円ですよね？
動画などいくら観ても大丈夫ですか？ https://t.co/D4Wi1SWYbB

Customer message 6: @AmazonHelp 無料体験会員は使えないのであれば
正式に会員登録したいのですが
どうしたらよいですか？

Customer message 7: @AmazonHelp マンガとか音楽も使えるのですか？",I6,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
2337919,"Customer message 1: @115850 the courier service in my area is horrible.I didn't get my package and suddenly received the email stating it was returned.worse

Customer message 2: @AmazonHelp @115850 ya I did. He couldn't do anything. Now can't get it at the same deal",I2,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
1968359,"Customer message 1: so, I'm not very happy with @116090. Not only did the order made on Oct 30th that was scheduled to arrive on Nov 1st (prime), failed to be delivered 4 times and now is expected to be delivered Dec 20th but the customer service sent smiley faces and lol'ed at me.

Customer message 2: @116090 then basically told me that everything that could possibly be done has been done and basically asked me ""if there was anything else I could do or else click 'end chat' and I was just....what the heck....

Customer message 3: @116090 I regret paying for Prime so much....

Customer message 4: @AmazonHelp Is this e-mail something that’s supposed to be received right after the chat? Because I have yet to receive it.

Customer message 5: @AmazonHelp This chat was about 4hrs ago. I've chatted with customer service 3 times prior to this for the same order and have never received e-mails after any of them.

Customer message 6: @AmazonHelp yup. nothing there.

Customer message 7: @AmazonHelp no I just got a promt to get the transcript e-mailed and the window auto-closed after I clicked. Reason was not given but claim to carrier was sent and it was re-rescheduled for Monday but never arrived and was told guaranteed tuesday (today) but again, never arrived.

Customer message 8: @AmazonHelp No. The lady I talked to today basically canceled the original order and reordered and it’s not going to ship/deliver until Nov13-Dec20.

Customer message 9: @AmazonHelp Sure. I’m not so much angry at delivery time but the way the whole thing was dealt with. I’d like to send feedback/file a complaint if possible",I1,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
1535518,"Customer message 1: Awesome @115821 GUARANTEED delivery today - seems ""today"" is now late NOVEMBER. WTF!? Why do I pay for #prime- worthless. Getting worse...

Customer message 2: @AmazonHelp Super glad you're sorry @115821, but one of your vendors shows 5 in-stock w/2 day delivery still - so, how about 2 days from now?

Customer message 3: @AmazonHelp Also, how sad is it that you need to shame @115821 on #twitter for customer service issues. Market share up for grabs ppl!

Customer message 4: @AmazonHelp Third party. They fly under your banner and make commitments to your customers. Do you think this does not reflect poorly on #amazon?

Customer message 5: @AmazonHelp Feedback loop - tl;dr - cancelled order.",I1,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
667704,"Customer message 1: @115821 my daughter is STILL waiting for her birthday present it should've been delivered yesterday!!! ITalked to 6 reps PLS ☎️me 6159447599 https://t.co/fkaRiumvPb

Customer message 2: @AmazonHelp After iSpent HOURS on☎️ @115821 refunded lost gift card &amp; gave me $75 credit as compensation because iPROVED iWas LIED to by🇮🇳call center

Customer message 3: @AmazonHelp @115821 Then iReordered my daughters birthday gift-ya'll waived the delivery charge so she would get it today-she waited by door &amp; it never arrived😢 https://t.co/T54CHXUKVb

Customer message 4: @AmazonHelp @115821 TWO nights in a row #Amazon dropped the ball and i'm a bad parent in my kids eyes.  All I wanted was to may my daughter know iCare😢TWICE😢😪😭😡

Customer message 5: @AmazonHelp That was the 1st one that never got to her Monday

Customer message 6: @AmazonHelp The 2nd card tracking says it 's expected to arrive &amp; its after 8 and never arrived. https://t.co/JKb4zhxGq9

Customer message 7: @AmazonHelp Im beginning to think gift cards get stolen .... maybe @115821 needs to beef up security &amp; do background checks on driver

Customer message 8: @AmazonHelp That is the weird part - it had none",I1,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
538485,"Customer message 1: @115830 Could your returns be more farcical? #Amazon page says “Show code on mobile phone” to return. Mr @244842 says “sorry, scanner can’t read phone screen, can you go and print it out”. Stupidity of highest order.... https://t.co/8vuwhH6bI6

Customer message 2: @AmazonHelp Not yet, have to go home to print out web page for Mr @244842 and take it back. Let’s hope his scanner can read it from a printed page...",I3,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
142806,"Customer message 1: Oye, @116928, si el paquete que habéis dejado delante de la puerta de casa (aunque en Seguimiento del pedido dice, falsamente, que se le entregó a un residente) lo hubiese cogido cualquiera que pasase por allí, ¿qué habría pasado?

Customer message 2: @116928 Es que ni se molestaron en llamar por teléfono, ni una nota para reentrega ni nada. Lo dejaron delante de la puerta sin más. La verdad es que no transmite mucha confianza ese proceso de entrega. Así que insisto: ¿qué pasa si alguien coge ese paquete? ¿Os hacéis cargo?

Customer message 3: @AmazonHelp Amazon Logistics.

Customer message 4: @AmazonHelp Vendido por Amazon EU S.a.r.L.

Customer message 5: @AmazonHelp Luego os escribo. Muchas gracias.",I2,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
2984600,"Customer message 1: ¿Por qué mandan tanta basura de correo, tío @116875 ? Es increíble la cantidad de spam que he recibido de ustedes los últimos días. Ya Párenle, es demasiado molesto. #Amazon #Spam @AmazonHelp https://t.co/vKtrQkENfp

Customer message 2: @AmazonHelp Ya cancelé las notificaciones, solo espero que sí me lleguen los correos de pedidos que haga.",I8,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
436929,"Customer message 1: @135806 sois la peor empresa de paqueteria..Esque no dais ni una...haber si @116928 deja de currar con vosotros.Queee desastre!!

Customer message 2: @AmazonHelp no tiene que ver con vosotros , lo que  a sucedido es que el paquete me tendría que haber llegado hoy , y no an dado señales de vida

Customer message 3: @AmazonHelp y lo pero que ya me a pasado mas de 5 veces...

Customer message 4: @AmazonHelp Q ba, si es imposible ponerme en contacto con ellos, no cojen( ocupado) o no da señal el telefono. Y el establecimientolo tengo a muchos km

Customer message 5: @AmazonHelp no, no puedo contactar con ellos ya que no hay manera, no  les funcionan el ""tlf"" y el establecimiento me pilla a muchos km como para ir

Customer message 6: @AmazonHelp gracias¡¡¡¡ Lo hare https://t.co/LbJNaGigfD

Customer message 7: @AmazonHelp gracias,por lo menos veo que ayudáis mas que  @135806 o por lo menos os preocupáis algo",I1,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
351871,"Customer message 1: How much cost FL_studio 11 producer edition or all plugins with amazon? @AmazonHelp I think I should buy one, if you ships to Norway.

Customer message 2: @AmazonHelp Ok",I8,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
2276187,Customer message 1: Hey @AmazonHelp why would u not be receiving out for delivery or order delayed emails?,I8,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
2622599,"Customer message 1: @115830 really Amazon? Really? After the problem I had yesterday with the packaging you send the second drive in the same manner? Hard drives should have foam inserts to protect it during shipping! Again not even a fragile symbol on the box. Don’t ever buy HDDs from Amazon!! https://t.co/ighaaStWBd

Customer message 2: @AmazonHelp Who would use a drive that was shipped that way? I don’t want to touch it with a 10 foot barge pole! I’ve contacted Western Digital about this and let them know how you sent out their drives. This is seriously a rookie mistake, any person that has any knowledge of PCs knows that",I4,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
1576358,"Customer message 1: What’s going on with the South Park steelbook? 🤔🤔🤔 now I’m not getting it on release day @AmazonHelp

Customer message 2: @AmazonHelp Yes but literally only this morning when it was meant to come today 🤔 would like more info than the email provided. Thanks",I1,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
2335832,"Customer message 1: @115850 Order never got delivered. Should have come last week. If I don't get it by today, I don't need it anymore. https://t.co/6zaqlVpjyM

Customer message 2: @AmazonHelp I am beyond that at the moment. All I want is my package -.- IT'S BEEN TWO WEEKS!

Customer message 3: @AmazonHelp We spoke to a customer care executive. Let's see what happens now",I1,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
389619,Customer message 1: @115850 Item Number: 403-0024754-5758751 Delivered but didn't received. what a pathetic delivery channel for prime member. #fakeAmazon,I2,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
1606250,Customer message 1: @115850 @115851  Product recieved poor packaging and mobile box damaged from one corner.. first time dissapoint with amazon service. DM,I4,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
912911,"Customer message 1: @115850 When you pay for Amazon Prime Membership &amp; ur product delivery is on halt, due to unknown reasons, feeling stupid for buyin prime

Customer message 2: @115850 Product has reached destination city yesterday morning, still no intimation of delivery.. order id- 215173237447
Slot of delivery 21-23 oct

Customer message 3: @AmazonHelp Now the app shows estimated time of delivery as 23oct earlier it was 21oct.Still I wnt to knw why its delayed after reaching city. https://t.co/qBPLRkASfk

Customer message 4: @AmazonHelp If the item is delayed, whats the use of my prime membership then?? Amazon doesn’t respect its promises. Not getting prime membership again

Customer message 5: @AmazonHelp Plz tell me how can I opt out of Amazon Prime, coz you guys take five days  to make a normal delivery, wats the use of prime??

Customer message 6: @AmazonHelp For around 48 hours, the product is in the city and its not getting delivered. @118702  deliveries are better then you. No to Amazon Prime

Customer message 7: @AmazonHelp Have done it, as you instructed but whats the use, have been doing the same from last two days, u r nt doing nething. Cancel my Amazon prime

Customer message 8: @AmazonHelp Estimated delivery at the time of ordering was 21 October as I am a prime member. If it has reached destination city, y its on hold??

Customer message 9: @AmazonHelp Very well, its the only thing you can do. @118702 would hv delivered it on the first hand, they don’t delay once its in destination city

Customer message 10: @AmazonHelp Will you even try to deliver the product today or will be just justifying your so called process??

Customer message 11: @AmazonHelp Plz dnt say that, If amazon tries to delivery before time then my delivery should have been made by now.. its in my city from past two days",I1,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
566642,"Customer message 1: @115851 how come amazon won’t take responsibility for the fact that they screwed up my order ?

Customer message 2: @AmazonHelp I ordered a product that you originally said you could deliver within a stipulated amount of time and now I am told you have no idea when you can ship it. I am leaving the country and need my product before “whenever yall can “

Customer message 3: @AmazonHelp Latest update is “whenever we can” I aheve spoken to several representatives throughout this entire day and have been disrespected when requesting a simple rectification of a problem that was your fault

Customer message 4: @AmazonHelp I was offered the gracious chance of cancelling my order and paying substantially more to buy it from another seller and being reimbursed “a promotional certificate “ which I could only use on orders that you guys get paid for

Customer message 5: @AmazonHelp Well I was on chat with manager Loicel but he ended the chat without helping me so ..",I1,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
2306086,"Customer message 1: Ugh @116090 - when I order something with same day/one day shipping on Friday Nov 10 @ noon, I don’t expect to be without it 2 days later at 6:19 pm. This is some kind of bullshit.

Customer message 2: @AmazonHelp Now this? Come on. https://t.co/If8iL6yko9

Customer message 3: @AmazonHelp I clicked the link and sent an email. That was really it

Customer message 4: @AmazonHelp Now I have the website telling me it's delayed but arriving today and my app telling me it's been rescheduled till tomorrow. Keep in mind, this is something advertised as arriving Friday/Saturday @ the latest. Now Monday? Remind me why I'm paying for prime....

Customer message 5: @AmazonHelp I'm on chat but on hold because she's doing something (unsure of what). I'm just a bit skeptical because this same carrier tossed my last package from the driveway onto the porch and we complained (he didn't realize we were there).

Customer message 6: @AmazonHelp And when I say tossed, I mean from 8 feet away and it bounced and ricocheted off the front door and its a grip handle set so something that shouldn't be tossed. He didn't realize we were sitting on front porch (foliage blocks him from seeing us).

Customer message 7: @AmazonHelp You guys just shouldn't advertise something as a Prime item with same day/one day delivery and then not deliver it till 3 1/2 days later. That's BS. I'd get that delivery without paying for Prime.

Customer message 8: @AmazonHelp Nope. She told me my package is arriving tomorrow. Yep - I already knew that.

Customer message 9: @AmazonHelp Her words, verbatim:  ""In this case please wait till the end of November 13, in order to receive the item.""

Customer message 10: @AmazonHelp No.

Customer message 11: @AmazonHelp Ok Amazon. Im about to scream. Now my package tracking says ""Special delivery arrangement requested by customer, which may delay shipment"" - WTF is this? I didn't make any 'special delivery arrangement'. What is happening now?",I1,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
2198910,"Customer message 1: A @117086 começou a vender eletrônicos também, e isso é muito bom ♥

Customer message 2: @AmazonHelp Agora sim é pra casar.",I8,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
1003675,"Customer message 1: @AmazonHelp Plz track the package with track no : 211178196277.I got sms 2 times for successfully delivery but hvn't received product.

Customer message 2: @AmazonHelp I hv used the options that u suggested in last tweet but it doesn't solves my problem. I contacted 2-3 times by phone and mail.

Customer message 3: @AmazonHelp As suggested I have filled the form and submitted it.

Customer message 4: @AmazonHelp Thanks... :) Its delivered yesterday.",I2,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
609492,"Customer message 1: “We'll see feature films, conventional television &amp; digital coexist in India but there will be a distinct rise in eyeballs moving to digital content”, said @28428 of @28429 at @28430 with Aparna Purohit, Head of Creative Development, Amazon Prime Video. #IFFI2017

Customer message 2: @118919 @28428 @28429 @28430 Amazon has lost my parcel. I bought a pair of bracelet a week ago but still i am waiting i didn't  received any parcel but in my amazon account it shows that it was already delivered . ORDER # 402-4403672-6873149 and ORDER # 402-5434523-7336360

Horrible, horrible service.

Customer message 3: @AmazonHelp I am still waiting for my refund but after submitting all the details you guys are not taking any single action. Poor parcel services poor customer care services and very poor experience with this poor shopping website",I2,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
226304,"Customer message 1: #AmazonIndia  is this how #amazonUS also worked. I thought Amazon is known for customer satisfaction but in India you are cheating them https://t.co/yfJrJqgEsQ

Customer message 2: @AmazonHelp For past 15 day I am trying get my money back. Fir you took money didn't even generate order id

Customer message 3: @AmazonHelp @AmazonHelp

Customer message 4: @AmazonHelp  https://t.co/rTbAyrVVkB

Customer message 5: @AmazonHelp  https://t.co/yuTIVThAw6

Customer message 6: @AmazonHelp  https://t.co/lZYEAShTri

Customer message 7: @AmazonHelp Last time tweeted this was the typical reply gave.
And after registration of complaint the reply you have on mail is different

Customer message 8: @AmazonHelp so many thread are there and no is help they are just asking for order no and I have told them many times you have deleted those records

Customer message 9: @AmazonHelp Even after sending them bank statement you guys are not willing to return my money

Customer message 10: @AmazonHelp I did that but no response",I3,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
2419939,"Customer message 1: @AmazonHelp would you please take a minute to realise the fact the my 26,000/- INR is stuck up with you and please refund it back. https://t.co/wrWbxZvSQR

Customer message 2: @AmazonHelp I don’t want any updates i want my money back 😊 why is it taking so much time when you can provide 1hr fastest deliveries 😊 #failedtech.",I3,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
297885,"Customer message 1: Why @115850! Why should I order additional products for my folks...I'm not a reseller duh! Is this an #AmazonGreatIndianFestival sale? https://t.co/pvssr1kJho

Customer message 2: @AmazonHelp 1/1 An ask to increase quantity in order to deliver a product is ridiculous! My parents cannot have two identical shirts/tops.

Customer message 3: @AmazonHelp 1/2 Mine is a serviceable location! Pls check my historical data!

Customer message 4: @AmazonHelp @115850 forgot to mark you for the #AmazonGreatIndianFestival

Customer message 5: @AmazonHelp @115850 forgot to mark you for the #AmazonGreatIndianFestival",I8,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
1310943,"Customer message 1: What is the time frame turnaround for @AmazonHelp's gift card department to reply about a damaged gift card? Sent photos of card and receipt

Customer message 2: @AmazonHelp About 3 hours.  Thank you.  I will wait.

Customer message 3: @AmazonHelp I just wanted a time frame so I'd know it wouldn't be endless.

Customer message 4: @AmazonHelp Maybe when I get up in the morning it will have been done because I emailed your escalations division at the gift cards email the pics.

Customer message 5: @AmazonHelp On some gift cards the glue is too strong on the peel up strip and it peels up EVERY number on the claim code but one....

Customer message 6: @AmazonHelp So I did what they asked me for last time it happened.  Photographed card and receipt and emailed it to the gift card division.

Customer message 7: @AmazonHelp If you want to see the photos, I can give them to you in DM.

Customer message 8: @AmazonHelp Not yet.  Like I said, maybe I'll wake up to it.  Going to bed soon.

Customer message 9: @AmazonHelp Last order ONE item was NOT as described, ONE is delayed till Halloween, and the third item comes tomorrow.

Customer message 10: @AmazonHelp Over 12 hours and NOTHING yet.

Customer message 11: @AmazonHelp Do I need to send it AGAIN?

Customer message 12: @AmazonHelp Done

Customer message 13: @AmazonHelp I also gave YOU the pictures in direct message.

Customer message 14: @AmazonHelp I got YOUR email, nobody else's.   I've sent you the pictures of the card and the receipt too. Must I ask my followers to boycott Amazon?

Customer message 15: @AmazonHelp I just received my credit from BASIC customer service.  They were on topof what your gift card department wasn't.  GOOD FOR THEM!",I3,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
2901144,"Customer message 1: In Ad cost is 28000, reality 40937. Y u gyus spoiling ur name n fame @115850 https://t.co/hsmZ6ecAck",I6,Auto-handle,I8,Auto-handle,Majority-class trivial baseline prediction.,,
861170,"Customer message 1: @AmazonHelp 1-day order was falsely undeliverable. chatted cust service. said it would come today. Now scheduled for tomorrow. Plz help.

Customer message 2: @AmazonHelp Yes, it's AMZL US. I just want to make sure the package actually gets delivered today.

Customer message 3: @AmazonHelp sent. thank you.

Customer message 4: @AmazonHelp i'm a bit confused. Are you able to follow up with the courier to make sure delivery happens today?

Customer message 5: @AmazonHelp great. thank you.

Customer message 6: @AmazonHelp my order still says that my action is required.",I1,Escalate,I8,Auto-handle,Majority-class trivial baseline prediction.,,
